time,lat,lon,tempanomaly
1909-10-15,51.0,21.0,2.37
1909-11-15,51.0,21.0,-2.34
1909-12-15,51.0,21.0,1.4699999
1910-01-15,51.0,21.0,3.53
1910-02-15,51.0,21.0,4.67
1910-03-15,51.0,21.0,0.89
1910-04-15,51.0,21.0,0.14999999
1910-05-15,51.0,21.0,1.7099999
1910-06-15,51.0,21.0,2.25
1910-07-15,51.0,21.0,-1.29
1910-08-15,51.0,21.0,-1.1999999
1910-09-15,51.0,21.0,-1.0
1910-10-15,51.0,21.0,-1.24
1910-11-15,51.0,21.0,-1.76
1910-12-15,51.0,21.0,2.6499999
1911-01-15,51.0,21.0,2.6399999
1911-02-15,51.0,21.0,-0.74
1911-03-15,51.0,21.0,1.26
1911-04-15,51.0,21.0,-0.64
1911-05-15,51.0,21.0,1.56
1911-06-15,51.0,21.0,-0.90999997
1911-07-15,51.0,21.0,-0.02
1911-08-15,51.0,21.0,1.56
1911-09-15,51.0,21.0,0.83
1911-10-15,51.0,21.0,-0.39
1911-11-15,51.0,21.0,0.76
1911-12-15,51.0,21.0,1.3399999
1912-01-15,51.0,21.0,-3.6699998
1912-02-15,51.0,21.0,1.0
1912-03-15,51.0,21.0,3.1499999
1912-04-15,51.0,21.0,-2.04
1912-05-15,51.0,21.0,-1.26
1912-06-15,51.0,21.0,1.05
1912-07-15,51.0,21.0,0.95
1912-08-15,51.0,21.0,-1.48
1912-09-15,51.0,21.0,-4.11
1912-10-15,51.0,21.0,-3.37
1912-11-15,51.0,21.0,-1.99
1912-12-15,51.0,21.0,2.82
1913-01-15,51.0,21.0,0.38
1913-02-15,51.0,21.0,1.8399999
1913-03-15,51.0,21.0,3.1799998
1913-04-15,51.0,21.0,-0.03
1913-05-15,51.0,21.0,-0.59
1913-06-15,51.0,21.0,-1.73
1913-07-15,51.0,21.0,-1.8499999
1913-08-15,51.0,21.0,-1.4499999
1913-09-15,51.0,21.0,-0.45
1913-10-15,51.0,21.0,-0.37
1913-11-15,51.0,21.0,1.88
1913-12-15,51.0,21.0,2.56
1914-01-15,51.0,21.0,-0.35999998
1914-02-15,51.0,21.0,3.87
1914-03-15,51.0,21.0,2.03
1914-04-15,51.0,21.0,1.02
1914-05-15,51.0,21.0,0.13
1914-06-15,51.0,21.0,-0.29999998
1914-07-15,51.0,21.0,1.67
1914-08-15,51.0,21.0,-0.29999998
1914-09-15,51.0,21.0,-1.7199999
1914-10-15,51.0,21.0,-1.36
1914-11-15,51.0,21.0,-2.6
1914-12-15,51.0,21.0,3.1999998
1915-01-15,51.0,21.0,2.3799999
1915-02-15,51.0,21.0,2.1599998
